,iter_id,NN_ate_pred,NN_att_pred,NN_bias_att,NN_atc_pred,NN_policy_value,NN_policy_risk,NN_err_fact,SAE_e2e_ate_pred,SAE_e2e_att_pred,SAE_e2e_bias_att,SAE_e2e_atc_pred,SAE_e2e_policy_value,SAE_e2e_policy_risk,SAE_e2e_err_fact,SAE_stacked_all_layer_active_ate_pred,SAE_stacked_all_layer_active_att_pred,SAE_stacked_all_layer_active_bias_att,SAE_stacked_all_layer_active_atc_pred,SAE_stacked_all_layer_active_policy_value,SAE_stacked_all_layer_active_policy_risk,SAE_stacked_all_layer_active_err_fact,SAE_stacked_cur_layer_active_ate_pred,SAE_stacked_cur_layer_active_att_pred,SAE_stacked_cur_layer_active_bias_att,SAE_stacked_cur_layer_active_atc_pred,SAE_stacked_cur_layer_active_policy_value,SAE_stacked_cur_layer_active_policy_risk,SAE_stacked_cur_layer_active_err_fact,LR_ate_pred,LR_att_pred,LR_bias_att,LR_atc_pred,LR_policy_value,LR_policy_risk,LR_err_fact,LR_Lasso_ate_pred,LR_Lasso_att_pred,LR_Lasso_bias_att,LR_Lasso_atc_pred,LR_Lasso_policy_value,LR_Lasso_policy_risk,LR_Lasso_err_fact
0,0,0.0,-0.05,0.14285714285714285,0.03571428571428571,0.6643668831168831,0.3356331168831169,0.17289719626168223,0.013888888888888888,0.0,0.09285714285714286,0.023809523809523808,0.7072649572649573,0.2927350427350427,0.2927350427350427,-0.013888888888888888,-0.013888888888888888,0.24285714285714285,0.24285714285714285,0.6480514096185738,0.35194859038142623,0.2071651090342679,-0.034722222222222224,0.03333333333333333,0.05952380952380953,-0.08333333333333333,0.6826287138787139,0.31737128612128607,0.1806853582554517,0.020833333333333332,-0.11666666666666667,0.20952380952380953,0.11904761904761904,0.6238425925925926,0.37615740740740744,0.19314641744548286,0.041666666666666664,-0.05,0.14285714285714285,0.10714285714285714,0.6572564412238325,0.34274355877616747,0.19003115264797507
1,1,0.125,-0.13333333333333333,0.42380952380952375,0.30952380952380953,0.6747474747474747,0.32525252525252535,0.1791277258566978,0.125,-0.13333333333333333,0.42380952380952375,0.30952380952380953,0.6917162698412698,0.30828373015873023,0.30828373015873023,0.05555555555555555,0.05555555555555555,0.2571428571428571,0.2571428571428571,0.6095238095238095,0.39047619047619053,0.1853582554517134,0.11805555555555555,-0.1,0.3904761904761904,0.27380952380952384,0.638888888888889,0.36111111111111105,0.19937694704049844,0.16666666666666666,-0.03333333333333333,0.32380952380952377,0.30952380952380953,0.6527777777777778,0.3472222222222222,0.1853582554517134,0.13194444444444445,-0.11666666666666667,0.40714285714285714,0.30952380952380953,0.6574074074074074,0.34259259259259256,0.19158878504672897
2,2,0.006944444444444444,0.08771929824561403,0.022988505747126464,-0.04597701149425287,0.6934865900383143,0.30651340996168575,0.1573208722741433,-0.013888888888888888,0.03508771929824561,0.029643073200241954,-0.04597701149425287,0.6882544581618656,0.3117455418381344,0.3117455418381344,0.041666666666666664,0.041666666666666664,0.08227465214761037,0.08227465214761037,0.7380952380952381,0.26190476190476186,0.1588785046728972,0.041666666666666664,-0.03508771929824561,0.09981851179673318,0.09195402298850575,0.6767676767676768,0.3232323232323232,0.1573208722741433,-0.006944444444444444,0.0,0.06473079249848757,-0.011494252873563218,0.6918103448275863,0.3081896551724137,0.1557632398753894,0.0763888888888889,0.08771929824561403,0.022988505747126464,0.06896551724137931,0.7322277046783625,0.2677722953216375,0.1573208722741433
3,3,0.020833333333333332,0.017241379310344827,0.06655974338412182,0.023255813953488372,0.7804166666666666,0.21958333333333335,0.16666666666666666,0.034722222222222224,0.10344827586206896,0.15276663993584594,-0.011627906976744186,0.805731364275668,0.19426863572433195,0.19426863572433195,0.04861111111111111,0.04861111111111111,0.08380112269446664,0.08380112269446664,0.7713651151151151,0.22863488488488493,0.16355140186915887,0.04861111111111111,0.05172413793103448,0.10104250200481146,0.046511627906976744,0.8042369901547116,0.19576300984528838,0.1557632398753894,0.041666666666666664,0.034482758620689655,0.08380112269446664,0.046511627906976744,0.7702546296296297,0.22974537037037035,0.20404984423676012,0.041666666666666664,-0.034482758620689655,0.014835605453087333,0.09302325581395349,0.7386039886039886,0.26139601139601143,0.16510903426791276
4,4,0.0763888888888889,-0.0392156862745098,0.14927261227071478,0.13978494623655913,0.8054577464788732,0.19454225352112675,0.17289719626168223,-0.020833333333333332,0.0,0.11005692599620498,-0.03225806451612903,0.7938368055555555,0.20616319444444453,0.20616319444444453,0.11805555555555555,0.11805555555555555,0.11005692599620498,0.11005692599620498,0.8232323232323232,0.1767676767676768,0.17289719626168223,0.05555555555555555,0.0392156862745098,0.07084123972169518,0.06451612903225806,0.8123219373219375,0.18767806267806253,0.1557632398753894,0.0,0.11764705882352941,0.007590132827324431,-0.06451612903225806,0.7777777777777777,0.22222222222222232,0.14485981308411214,0.0,0.0,0.11005692599620498,0.0,0.7793989547038327,0.2206010452961673,0.16355140186915887
5,5,-0.013888888888888888,0.04838709677419355,0.04642014162077106,-0.06097560975609756,0.7787162162162162,0.22128378378378377,0.1573208722741433,0.013888888888888888,-0.016129032258064516,0.018095987411487005,0.036585365853658534,0.7690476190476191,0.2309523809523809,0.2309523809523809,0.027777777777777776,0.027777777777777776,0.0019669551534224894,0.0019669551534224894,0.7764084507042254,0.22359154929577463,0.16978193146417445,0.0,0.016129032258064516,0.014162077104642026,-0.012195121951219513,0.7753378378378379,0.22466216216216206,0.16043613707165108,0.041666666666666664,-0.24193548387096775,0.24390243902439024,0.25609756097560976,0.8146929824561403,0.1853070175438597,0.17601246105919002,0.020833333333333332,-0.06451612903225806,0.06648308418568055,0.08536585365853659,0.7711267605633803,0.22887323943661975,0.16510903426791276
6,6,0.041666666666666664,0.06349206349206349,0.06878306878306883,0.024691358024691357,0.7137962962962964,0.2862037037037036,0.16199376947040497,0.0763888888888889,0.015873015873015872,0.02116402116402122,0.12345679012345678,0.763599537037037,0.23640046296296302,0.23640046296296302,-0.013888888888888888,-0.013888888888888888,0.10052910052910058,0.10052910052910058,0.7109375,0.2890625,0.1573208722741433,0.013888888888888888,0.047619047619047616,0.05291005291005296,-0.012345679012345678,0.7077546296296297,0.29224537037037035,0.16199376947040497,0.06944444444444445,-0.1111111111111111,0.10582010582010576,0.20987654320987653,0.751984126984127,0.24801587301587302,0.16666666666666666,-0.013888888888888888,0.031746031746031744,0.03703703703703709,-0.04938271604938271,0.7078189300411523,0.29218106995884774,0.1573208722741433
7,7,0.09027777777777778,0.18032786885245902,0.08888011060635995,0.024096385542168676,0.7221929516450064,0.2778070483549936,0.16666666666666666,0.06944444444444445,0.13114754098360656,0.03969978273750749,0.024096385542168676,0.7087525150905433,0.29124748490945673,0.29124748490945673,0.0,0.0,0.09144775824609908,0.09144775824609908,0.6868846694796062,0.31311533052039375,0.16199376947040497,0.006944444444444444,0.03278688524590164,0.058660873000197435,-0.012048192771084338,0.699280753968254,0.30071924603174605,0.16355140186915887,0.020833333333333332,0.16393442622950818,0.07248666798340911,-0.08433734939759036,0.6838186077643909,0.31618139223560915,0.16199376947040497,0.04861111111111111,0.06557377049180328,0.025873987754295794,0.03614457831325301,0.6952566601689408,0.30474333983105917,0.16978193146417445
8,8,0.013888888888888888,-0.046153846153846156,0.06309639727361255,0.06329113924050633,0.7265625,0.2734375,0.16666666666666666,-0.006944444444444444,0.07692307692307693,0.059980525803310536,-0.0759493670886076,0.7208994708994709,0.27910052910052907,0.27910052910052907,0.0,0.0,0.001557935735151006,0.001557935735151006,0.7218660968660968,0.2781339031339032,0.16199376947040497,-0.020833333333333332,0.06153846153846154,0.04459591041869515,-0.08860759493670886,0.6911458333333332,0.30885416666666676,0.17445482866043613,0.0,0.06153846153846154,0.04459591041869515,-0.05063291139240506,0.7208994708994709,0.27910052910052907,0.16355140186915887,-0.04861111111111111,0.1076923076923077,0.0907497565725413,-0.17721518987341772,0.7165776353276354,0.2834223646723646,0.16666666666666666
9,9,-0.041666666666666664,0.1568627450980392,0.05186590765338395,-0.15053763440860216,0.7225694444444444,0.2774305555555556,0.1573208722741433,0.06944444444444445,0.058823529411764705,0.04617330803289056,0.07526881720430108,0.7616666666666667,0.23833333333333329,0.23833333333333329,-0.027777777777777776,-0.027777777777777776,0.12460468058191017,0.12460468058191017,0.7098214285714286,0.2901785714285714,0.16978193146417445,0.034722222222222224,-0.27450980392156865,0.3795066413662239,0.20430107526881722,0.7665598290598292,0.23344017094017078,0.1791277258566978,0.020833333333333332,0.09803921568627451,0.006957621758380758,-0.021505376344086023,0.7237282463186078,0.27627175368139223,0.1557632398753894,0.013888888888888888,-0.09803921568627451,0.20303605313092976,0.07526881720430108,0.7033227848101266,0.29667721518987344,0.205607476635514
